??id,??,????,????,?????,???%
605411002,605411002,武汉泽顺跟卖 / 墨西哥,7,7,100.00
652408525,MLM4891694118,,6,6,100.00
601686713,601686713,武汉泽顺跟卖 / 巴西,5,5,100.00
518476783,518476783,武汉泽顺跟卖 / 巴西,5,5,100.00
497230564,497230564,,4,4,100.00
591700130,591700130,武汉泽顺跟卖 / 墨西哥,4,4,100.00
617615635,617615635,武汉泽顺跟卖 / 巴西,4,4,100.00
617869801,617869801,武汉泽顺跟卖 / 墨西哥,4,4,100.00
543605943,543605943,武汉泽顺跟卖 / 巴西,3,3,100.00
500666347,500666347,,3,3,100.00
446650445,446650445-DORADO,,3,3,100.00
502528680,502528680,武汉泽顺跟卖 / 墨西哥,3,3,100.00
603693125,603693125,武汉泽顺跟卖 / 墨西哥,3,3,100.00
371624468,371624468-BLUE/WHITE-HEADCIRCUMFERENCE54-55CM,,3,3,100.00
616624945,616624945,武汉泽顺跟卖 / 墨西哥,3,3,100.00
610490071,610490071,武汉泽顺跟卖 / 巴西,3,3,100.00
591697875,MLM4486333466:Morado_130,,3,3,100.00
344134253,MLM2156862543:Fix,,3,3,100.00
617721427,617721427,武汉泽顺跟卖 / 墨西哥,3,3,100.00
610490511,MLM4610969904:Flowing Sand Purple,,3,3,100.00
546030059,546030059-AZUL,武汉泽顺跟卖 / 墨西哥,3,3,100.00
665223011,665223011-CLARO,武汉泽顺跟卖 / 墨西哥,3,3,100.00
652401602,MLM4891694118,,3,3,100.00
570256129,570256129,武汉泽顺跟卖 / 巴西,2,2,100.00
566963963,MLM4471420396,武汉泽顺跟卖 / 墨西哥,2,2,100.00
530034984,530034984,武汉泽顺跟卖 / 墨西哥,2,2,100.00
572618167,572618167,武汉泽顺跟卖 / 巴西,2,2,100.00
561659826,561659826-MARINEFRAGRANCETABLETS,武汉泽顺跟卖 / 巴西,2,2,100.00
473132150,792554140847-RED,黄羽飞原创,2,2,100.00
561657486,561657486,武汉泽顺跟卖 / 墨西哥,2,2,100.00
584730729,584730729,武汉泽顺跟卖 / 巴西,2,2,100.00
484577168,484577168,,2,2,100.00
519606939,519606939,,2,2,100.00
572617293,MLB5914055466,武汉泽顺跟卖 / 巴西,2,2,100.00
603694724,MLB6010518664,武汉泽顺跟卖 / 巴西,2,2,100.00
601686963,601686963,武汉泽顺跟卖 / 巴西,2,2,100.00
505780157,505780157-NEGRO-140,武汉泽顺跟卖 / 墨西哥,2,2,100.00
581356126,581356126,武汉泽顺跟卖 / 墨西哥,2,2,100.00
610487707,610487707,武汉泽顺跟卖 / 墨西哥,2,2,100.00
620897946,MLB4318645163,,2,2,100.00
561655797,MLB5690995660,武汉泽顺跟卖 / 巴西,2,2,100.00
584728197,584728197,武汉泽顺跟卖 / 墨西哥,2,2,100.00
601686711,601686711,武汉泽顺跟卖 / 巴西,2,2,100.00
549324645,549324645,武汉泽顺跟卖 / 墨西哥,2,2,100.00
623135762,623135762,武汉泽顺跟卖 / 墨西哥,2,2,100.00
546022250,546022250,武汉泽顺跟卖 / 巴西,2,2,100.00
509097105,509097105,,2,2,100.00
646582387,MLM4992567320,,2,2,100.00
652406037,MLM4988500468,武汉泽顺跟卖 / 巴西,2,2,100.00
652408450,MLM5020781420,武汉泽顺跟卖 / 巴西,2,2,100.00
448242058,381251050-Red,圆佑同步,2,2,100.00
623069999,623069999,武汉泽顺跟卖 / 墨西哥,2,2,100.00
665221653,665221653,武汉泽顺跟卖核价 / 百分之130上架,2,2,100.00
623147638,623147638,武汉泽顺跟卖 / 巴西,2,2,100.00
652410229,652410229,武汉泽顺跟卖核价 / 百分之130上架,2,2,100.00
687287697,687287697,武汉泽顺跟卖 / 巴西,2,2,100.00
449649522,449649522,,1,1,100.00
505777675,505777675,圣诞娃娃,1,1,100.00
330372415,330372415-BLACK-NEGRO,,1,1,100.00
484575951,484575951,,1,1,100.00
519605577,519605577,武汉泽顺跟卖 / 巴西,1,1,100.00
517017870,517017870,武汉泽顺跟卖 / 墨西哥,1,1,100.00
484574418,484574418-26196-WHITE-150,,1,1,100.00
344135351,MLM2100784347,,1,1,100.00
448242614,448242614,圆佑同步,1,1,100.00
334344029,620209853091-Fix,黄羽飞原创 / 手机,1,1,100.00
